2026-09-18T08:50:46.592784494Z [2026-09-18 08:50:46 TP0 EP0] Prefill batch, #new-seq: 1, #new-token: 512, #cached-token: 0, full token usage: 0.00, swa token usage: 0.01, #running-req: 1, #queue-req: 0, #pending-token: 0, cuda graph: False, input throughput (token/s): 393.12
2026-09-18T08:51:03.627803496Z [2026-09-18 08:51:03 TP0 EP0] Prefill batch, #new-seq: 2, #new-token: 1024, #cached-token: 0, full token usage: 0.00, swa token usage: 0.02, #running-req: 1, #queue-req: 0, #pending-token: 0, cuda graph: False, input throughput (token/s): 60.11
2026-09-18T08:51:24.679697274Z [2026-09-18 08:51:24 TP0 EP0] Prefill batch, #new-seq: 4, #new-token: 2048, #cached-token: 0, full token usage: 0.00, swa token usage: 0.04, #running-req: 1, #queue-req: 0, #pending-token: 0, cuda graph: False, input throughput (token/s): 97.28
2026-09-18T08:51:52.265544520Z [2026-09-18 08:51:52 TP0 EP0] Prefill batch, #new-seq: 8, #new-token: 4096, #cached-token: 0, full token usage: 0.00, swa token usage: 0.08, #running-req: 1, #queue-req: 0, #pending-token: 0, cuda graph: False, input throughput (token/s): 148.48
2026-09-18T08:52:39.409055805Z [2026-09-18 08:52:39 TP0 EP0] Prefill batch, #new-seq: 8, #new-token: 4096, #cached-token: 0, full token usage: 0.00, swa token usage: 0.11, #running-req: 1, #queue-req: 1, #pending-token: 4096, cuda graph: False, input throughput (token/s): 86.88
2026-09-18T08:52:39.455996727Z [2026-09-18 08:52:39 TP0 EP0] Prefill batch, #new-seq: 7, #new-token: 3584, #cached-token: 0, full token usage: 0.00, swa token usage: 0.15, #running-req: 9, #queue-req: 1, #pending-token: 512, cuda graph: False, input throughput (token/s): 75404.94
2026-09-18T08:52:39.939693045Z [2026-09-18 08:52:39 TP0 EP0] Prefill batch, #new-seq: 1, #new-token: 512, #cached-token: 0, full token usage: 0.00, swa token usage: 0.16, #running-req: 15, #queue-req: 0, #pending-token: 0, cuda graph: False, input throughput (token/s): 1058.10
2026-09-18T08:53:31.356967798Z [2026-09-18 08:53:31 TP0 EP0] Prefill batch, #new-seq: 1, #new-token: 2048, #cached-token: 0, full token usage: 0.00, swa token usage: 0.01, #running-req: 1, #queue-req: 0, #pending-token: 0, cuda graph: False, input throughput (token/s): 39.83
2026-09-18T08:53:50.112357700Z [2026-09-18 08:53:50 TP0 EP0] Prefill batch, #new-seq: 2, #new-token: 4096, #cached-token: 0, full token usage: 0.00, swa token usage: 0.02, #running-req: 1, #queue-req: 0, #pending-token: 0, cuda graph: False, input throughput (token/s): 218.38
2026-09-18T08:54:14.668381834Z [2026-09-18 08:54:14 TP0 EP0] Prefill batch, #new-seq: 2, #new-token: 4096, #cached-token: 0, full token usage: 0.00, swa token usage: 0.09, #running-req: 1, #queue-req: 0, #pending-token: 4096, cuda graph: False, input throughput (token/s): 166.80
2026-09-18T08:54:14.766050533Z [2026-09-18 08:54:14 TP0 EP0] Prefill batch, #new-seq: 2, #new-token: 4096, #cached-token: 0, full token usage: 0.00, swa token usage: 0.04, #running-req: 3, #queue-req: 0, #pending-token: 0, cuda graph: False, input throughput (token/s): 42013.70
